po_number,vendor_name,vendor_country,sku_id,sku_name,size,quantity_ordered,order_date,eta_date,actual_arrival,destination,status,notes
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK6","2","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK7","5","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK8","7","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK9","8","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK10","5","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1001","Artcraft Leather Goods","India","madagascar","Madagascar","UK11","3","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK6","2","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK7","5","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK8","6","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK9","7","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK10","6","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
"PO-2026-1002","Foshan Athletic Mfg Co.","China","saffron","Apex Cyberpunk","UK11","3","2026-03-31","2026-05-05","2026-05-05","WH-BLR-MAIN","Delivered",""
