snapshot_date,store_id,store_name,sku_id,sku_name,size,units_on_hand,reorder_point,days_on_hand,stock_value_inr
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK6","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK7","0","3","0","0"
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK8","0","6","0","0"
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK9","0","6","0","0"
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK10","0","3","0","0"
"2026-05-12","indiranagar","Indiranagar","madagascar","Madagascar","UK11","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK6","3","1","67","23997"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK7","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK8","0","3","0","0"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK9","0","3","0","0"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK10","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK11","2","1","35","15998"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK6","2","1","48","16998"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK7","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK8","0","4","0","0"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK9","0","3","0","0"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK10","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","chestnut","Chestnut","UK11","2","1","37","16998"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK6","2","1","74","18998"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK7","0","1","0","0"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK8","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK9","0","2","0","0"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK10","0","1","0","0"
"2026-05-12","indiranagar","Indiranagar","neptune","Neptune","UK11","0","1","0","0"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK6","2","2","19","17998"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK7","4","4","18","35996"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK8","8","7","19","71992"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK9","8","7","20","71992"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK10","4","4","18","35996"
"2026-05-12","indiranagar","Indiranagar","saffron","Saffron","UK11","2","2","15","17998"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK6","2","1","30","17998"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK7","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK8","0","5","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK9","0","4","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK10","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK11","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK6","1","1","28","7999"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK7","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK8","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK9","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK10","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK11","1","1","22","7999"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK6","1","1","24","8499"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK7","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK8","0","4","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK9","0","3","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK10","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK11","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK6","1","0","56","9499"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK7","1","1","26","9499"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK8","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK9","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK10","0","1","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","neptune","Neptune","UK11","2","0","86","18998"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK6","1","1","16","8999"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK7","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK8","0","4","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK9","0","4","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK10","0","2","0","0"
"2026-05-12","vasant-vihar","Vasant Vihar","saffron","Saffron","UK11","1","1","12","8999"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK6","1","1","25","8999"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK7","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK8","0","3","0","0"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK9","0","3","0","0"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK10","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","madagascar","Madagascar","UK11","1","1","19","8999"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK6","1","0","37","7999"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK7","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK8","0","2","0","0"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK9","0","2","0","0"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK10","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","mango-chilli","Mango Chilli","UK11","1","1","29","7999"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK6","1","1","32","8499"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK7","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK8","0","3","0","0"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK9","0","2","0","0"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK10","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","chestnut","Chestnut","UK11","1","1","25","8499"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK6","1","0","74","9499"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK7","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK8","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK9","0","1","0","0"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK10","2","1","69","18998"
"2026-05-12","navrangpura","Navrangpura","neptune","Neptune","UK11","1","0","58","9499"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK6","1","1","24","8999"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK7","0","2","0","0"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK8","0","3","0","0"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK9","0","3","0","0"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK10","0","2","0","0"
"2026-05-12","navrangpura","Navrangpura","saffron","Saffron","UK11","1","1","18","8999"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK6","1","1","19","8999"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK7","0","2","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK8","0","4","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK9","0","3","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK10","0","2","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","madagascar","Madagascar","UK11","1","1","14","8999"
"2026-05-12","lakeshore","Lakeshore Mall","mango-chilli","Mango Chilli","UK6","1","0","37","7999"
"2026-05-12","lakeshore","Lakeshore Mall","mango-chilli","Mango Chilli","UK7","0","1","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","mango-chilli","Mango Chilli","UK8","0","2","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","mango-chilli","Mango Chilli","UK9","0","2","0","0"
"2026-05-12","lakeshore","Lakeshore Mall","mango-chilli","Mango Chilli","UK10","0","1","0","0"
