zone,aisle,bay,level,location_code,sku_id,sku_name,size,units,capacity,utilisation_pct,last_updated
"A","01","01","M","A01-01-M","madagascar","Madagascar","UK6","4","40","10","2026-05-19"
"A","02","01","G","A02-01-G","madagascar","Madagascar","UK7","8","40","20","2026-05-19"
"A","03","01","G","A03-01-G","madagascar","Madagascar","UK8","21","40","53","2026-05-19"
"A","04","02","G","A04-02-G","madagascar","Madagascar","UK9","14","40","35","2026-05-19"
"A","05","02","G","A05-02-G","madagascar","Madagascar","UK10","7","40","18","2026-05-19"
"A","06","02","T","A06-02-T","madagascar","Madagascar","UK11","5","40","13","2026-05-19"
"B","01","01","G","B01-01-G","mango-chilli","Mango Chilli","UK6","4","40","10","2026-05-19"
"B","02","01","G","B02-01-G","mango-chilli","Mango Chilli","UK7","7","40","18","2026-05-19"
"B","03","01","M","B03-01-M","mango-chilli","Mango Chilli","UK8","17","40","43","2026-05-19"
"B","04","02","T","B04-02-T","mango-chilli","Mango Chilli","UK9","10","40","25","2026-05-19"
"B","05","02","G","B05-02-G","mango-chilli","Mango Chilli","UK10","6","40","15","2026-05-19"
"B","06","02","T","B06-02-T","mango-chilli","Mango Chilli","UK11","4","40","10","2026-05-19"
"B","07","03","T","B07-03-T","chestnut","Chestnut","UK6","3","40","8","2026-05-19"
"B","08","03","M","B08-03-M","chestnut","Chestnut","UK7","8","40","20","2026-05-19"
"B","09","03","T","B09-03-T","chestnut","Chestnut","UK8","11","40","28","2026-05-19"
"B","10","04","M","B10-04-M","chestnut","Chestnut","UK9","11","40","28","2026-05-19"
"B","11","04","G","B11-04-G","chestnut","Chestnut","UK10","7","40","18","2026-05-19"
"B","12","04","T","B12-04-T","chestnut","Chestnut","UK11","4","40","10","2026-05-19"
"C","01","01","T","C01-01-T","neptune","Neptune","UK6","5","40","13","2026-05-19"
"C","02","01","T","C02-01-T","neptune","Neptune","UK7","12","40","30","2026-05-19"
"C","03","01","M","C03-01-M","neptune","Neptune","UK8","14","40","35","2026-05-19"
"C","04","02","G","C04-02-G","neptune","Neptune","UK9","21","40","53","2026-05-19"
"C","05","02","G","C05-02-G","neptune","Neptune","UK10","12","40","30","2026-05-19"
"C","06","02","G","C06-02-G","neptune","Neptune","UK11","6","40","15","2026-05-19"
"D","01","01","T","D01-01-T","saffron","Apex Cyberpunk","UK6","4","40","10","2026-05-19"
"D","02","01","G","D02-01-G","saffron","Apex Cyberpunk","UK7","10","40","25","2026-05-19"
"D","03","01","T","D03-01-T","saffron","Apex Cyberpunk","UK8","19","40","48","2026-05-19"
"D","04","02","T","D04-02-T","saffron","Apex Cyberpunk","UK9","20","40","50","2026-05-19"
"D","05","02","M","D05-02-M","saffron","Apex Cyberpunk","UK10","10","40","25","2026-05-19"
"D","06","02","T","D06-02-T","saffron","Apex Cyberpunk","UK11","5","40","13","2026-05-19"
