week_number,week_ending,store_id,store_name,sku_id,sku_name,size,units_sold
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK6","1"
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK7","1"
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK8","1"
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK9","1"
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK10","0"
"1","2026-02-24","indiranagar","Indiranagar","madagascar","Madagascar","UK11","0"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK6","0"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK7","1"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK8","2"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK9","1"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK10","1"
"1","2026-02-24","indiranagar","Indiranagar","mango-chilli","Mango Chilli","UK11","0"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK6","1"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK7","0"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK8","1"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK9","1"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK10","1"
"1","2026-02-24","indiranagar","Indiranagar","chestnut","Chestnut","UK11","0"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK6","0"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK7","1"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK8","2"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK9","2"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK10","1"
"1","2026-02-24","indiranagar","Indiranagar","neptune","Neptune","UK11","1"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK6","1"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK7","1"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK8","0"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK9","0"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK10","0"
"1","2026-02-24","indiranagar","Indiranagar","saffron","Saffron","UK11","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK6","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK7","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK8","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK9","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK10","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","madagascar","Madagascar","UK11","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK6","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK7","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK8","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK9","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK10","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","mango-chilli","Mango Chilli","UK11","0"
"1","2026-02-24","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK6","1"
"1","2026-02-24","vasant-vihar","Vasant Vihar","chestnut","Chestnut","UK7","1"
